"dgp","ares_train","ares_test","auto_train","auto_test","earth_train","earth_test","ranger_train","ranger_test"
"simple",0.634713512179543,0.577211038896901,0.64725052986093,0.590012050334841,0.66496325607688,0.51200094822307,1,0.547183975030126
"aw1",0.735781463997436,0.66646175811537,0.722537299297724,0.694084752820798,0.746267827786911,0.697376509548078,0.99998907247137,0.684169822919352
"aw2",0.621848632482053,0.508666044590919,0.560369449972893,0.475828386507574,0.642444374143204,0.467172268657309,1,0.492386189918402
"aw3",0.751724263038549,0.683881683011705,0.735903854875283,0.697326795317937,0.748160434593848,0.642379784878203,0.999985487528345,0.703377095855742
"aw3reverse",0.744897959183674,0.656284574047732,0.720934240362812,0.65761814446025,0.794024386257396,0.629919393077288,0.999989115646258,0.652204836415363
"ai1",0.5,0.5,0.5,0.5,0.522505072864785,0.520776936908455,1,0.520361990950226
"ai2",0.5,0.5,0.5,0.5,0.512066316732813,0.505852578298007,1,0.482639987345777
"kunzel",0.643906238409614,0.491051454138702,0.811215785179141,0.835197613721104,0.65,0.498881431767338,1,0.881431767337808
"nw1",0.850205352218965,0.851013252510846,0.841541375206803,0.86828707830669,0.863416911480039,0.842752718844714,0.999470292862741,0.838255977496484
"nw2",0.619450340136054,0.501720183486238,0.572961451247166,0.530755694400506,0.659794944898295,0.480326637140146,1,0.454543657070547
"nw3",0.815656281224453,0.764288537549407,0.805740757561995,0.764802371541502,0.821902631298604,0.762618577075099,0.999836497411209,0.760395256916996
"nw4",0.710078710897912,0.687759777064047,0.710484088912911,0.676908180615908,0.723347338935574,0.633903268467788,0.999987331937031,0.656480256943132
