"dgp","ares_train","ares_test","auto_train","auto_test","earth_train","earth_test","ranger_train","ranger_test"
"simple",1.07279292279453,1.37060560846421,1.14963250014017,1.25833222191109,1.07467361144149,1.38591641365861,0.243557826868786,1.37171647885773
"aw1",1.09203987423966,1.19616337920537,1.14604181646657,1.17655310977519,1.07485241224102,1.2258203088998,0.219821355379524,1.29424523041884
"aw2",1.53409619988889,1.70024077342622,1.49981923732701,1.75183802031783,1.30529537517396,1.92241362717029,0.387300042537907,2.94275640794877
"aw3",1.58693376658736,1.75440244423163,1.61348597064965,1.70266072105785,1.46097585205276,1.79680664015196,0.432905474486402,3.12220984072442
"aw3reverse",1.33656539450847,1.5943874518771,1.34646196517085,1.58203105198006,1.26580400958827,1.62861558469031,0.350948867883048,2.66221786278322
"ai1",1.03191664217283,1.25124875180782,1.05932604490598,1.17702229397436,0.961574786136703,1.2744983948312,0.210626244898905,1.26067065965027
"ai2",1.08311779814631,1.12965897352689,1.09225944002233,1.09733939811708,1.01339513629403,1.22126023155041,0.250400508257891,1.36735837706665
"kunzel",1.06512223754298,1.20778534654257,1.07769214321352,1.22606223605314,0.941453849045832,1.26091463405182,0.220031441213569,1.17703486193837
"nw1",1.25156744857564,1.33060067074127,1.23913059701355,1.37634326312444,1.18520168854117,1.35453110156253,0.333161792485646,2.38277653418202
"nw2",1.13078240274986,1.46097862032822,1.2146720351498,1.36960174640757,0.963577581329756,1.51998040021781,0.274916286886619,1.98283121034519
"nw3",1.14162884726401,1.18889410673677,1.17217385625176,1.19582849035744,1.02368780600951,1.30541422280397,0.296948673494604,1.98899324627638
"nw4",1.185239690728,1.20810030917278,1.21560567859705,1.2197812909345,1.05903197458734,1.17268250027974,0.311378806795793,1.65749734245134
