dgp,n,p,tune,rep,seed,train_R2,test_R2,train_MSE,test_MSE,overfit_ratio,overfit_gap,sigma_hat,lambda_hat,df_eff,wall_clock_s,n_warnings,n_errors
linear,500,10,none,1,13210001,0.853771219343979,0.697977742322588,0.860415963994881,1.62821354344539,1.89235626903719,0.155793477021391,10,0.663345872304877,NA,6.147,0,0
linear,500,10,none,2,13210002,0.867792918322692,0.711224132087433,0.709560366312553,1.69646532371257,2.39086821115555,0.156568786235259,10,0.663345872304877,NA,7.917,0,0
linear,500,10,none,3,13210003,0.896831942869525,0.706574391316042,0.573801518047785,1.73711343687456,3.02737685808963,0.190257551553482,10,0.448166902844072,NA,4.468,0,0
linear,500,10,none,4,13210004,0.873476270344463,0.704330655509975,0.667571481928707,1.64106220047348,2.45825689817099,0.169145614834488,10,0.663345872304877,NA,4.658,0,0
linear,500,10,none,5,13210005,0.916471578934932,0.675598731961167,0.464700272040185,1.71061244293319,3.68110919200251,0.240872846973764,10,0.315632073207827,NA,6.168,0,0
linear,500,10,none,6,13210006,0.856564140385512,0.735985301791931,0.785816182307424,1.40497522152425,1.78791841292802,0.120578838593581,10,0.663345872304877,NA,4.592,0,0
linear,500,10,none,7,13210007,0.907739839878681,0.709971087537495,0.478289018075078,1.61727774668675,3.38138172855327,0.197768752341186,10,0.315178969460805,NA,2.261,0,0
linear,500,10,none,8,13210008,0.856146732373484,0.681866761413031,0.798883333768326,1.66175764342088,2.08010052679706,0.174279970960454,10,0.663345872304877,NA,4.143,0,0
linear,500,10,none,9,13210009,0.834135781359761,0.721385952755931,0.899991245340053,1.42251974516521,1.580592869687,0.112749828603829,10,1.01151281225049,NA,2.1,0,0
linear,500,10,none,10,13210010,0.937543085190322,0.718682043811734,0.366279667916968,1.71786047606134,4.69002411690173,0.218861041378588,10,0.182191050249066,NA,4.872,0,0
additive,500,10,none,1,23210001,0.895327323445129,0.680247153698099,0.237444407049738,0.739467339651045,3.11427566915125,0.21508016974703,10,0.315178969460805,NA,1.513,0,0
additive,500,10,none,2,23210002,0.897574422647763,0.686010596628867,0.21555282899833,0.682389073362547,3.16576254894727,0.211563826018895,10,0.315178969460805,NA,6.59200000000001,0,0
additive,500,10,none,3,23210003,0.869448317169722,0.642311010426245,0.27801173759192,0.828247925637915,2.97918329928091,0.227137306743477,10,0.448166902844072,NA,4.756,0,0
additive,500,10,none,4,23210004,0.89632858686567,0.647842606451974,0.260286986282149,0.804400219088312,3.0904357938831,0.248485980413695,10,0.315178969460805,NA,4.919,0,0
additive,500,10,none,5,23210005,0.871539006297614,0.672033354708701,0.27658067140631,0.74470986190591,2.69255931052353,0.199505651588912,10,0.447433765546022,NA,5.20999999999999,0,0
additive,500,10,none,6,23210006,0.869681509311082,0.646970927511006,0.292859954604016,0.832431900040902,2.84242310003242,0.222710581800076,10,0.448166902844072,NA,4.59699999999999,0,0
additive,500,10,none,7,23210007,0.925513167641324,0.619158291939774,0.191087558238596,0.859501008124964,4.49794333052167,0.306354875701551,10,0.233267952732926,NA,5.919,0,0
additive,500,10,none,8,23210008,0.920064074362916,0.639711004056115,0.206010677428885,0.799406284412341,3.88041190092342,0.280353070306801,10,0.233267952732926,NA,3.518,0,0
additive,500,10,none,9,23210009,0.917456869580795,0.704568180573149,0.178856796081526,0.679103600456626,3.79691247598485,0.212888689007646,10,0.232987919211739,NA,2.273,0,0
additive,500,10,none,10,23210010,0.898234530698817,0.628775988458296,0.246544756876746,0.845927022770391,3.43112963944835,0.26945854224052,10,0.315178969460805,NA,4.128,0,0
interaction,500,10,none,1,33210001,0.899292238375252,0.596366898067981,0.26751953313026,0.957370206568197,3.57869272335354,0.302925340307271,10,0.315632073207827,NA,7.04100000000001,0,0
interaction,500,10,none,2,33210002,0.853308881685396,0.557696236438885,0.393892590297207,1.17584575639488,2.98519389640627,0.295612645246511,10,0.448166902844072,NA,4.46899999999999,0,0
interaction,500,10,none,3,33210003,0.92084758216512,0.61055579605689,0.172323549333909,0.964294926476493,5.59583951354201,0.310291786108229,10,0.182191050249066,NA,4.131,0,0
interaction,500,10,none,4,33210004,0.934527175184063,0.629612566166303,0.174691590500324,0.974813485891353,5.58019698085892,0.304914609017759,10,0.182191050249066,NA,3.605,0,0
interaction,500,10,none,5,33210005,0.887116725225481,0.601388745086286,0.246796034322811,0.971914060491792,3.93812673351355,0.285727980139195,10,0.315178969460805,NA,3.773,0,0
