dgp,n,earth_t,earth_mse,ares_t,ares_mse,autotune_t,autotune_mse,ranger_t,ranger_mse,autotune_degree
friedman1,500,0.02,1.475,0.01,1.534,0.49,1.792,0.07,5.256,2
friedman1,1500,0.04,1.050,0.02,0.993,0.22,1.163,0.27,4.307,2
friedman2,500,0.00,18022.007,0.00,18664.473,0.11,18719.386,0.05,22876.692,2
friedman2,1500,0.00,17663.349,0.01,17645.517,0.39,17559.048,0.20,21250.698,2
additive,500,0.01,1.198,0.01,1.148,0.34,1.170,0.05,1.353,1
additive,1500,0.02,0.983,0.02,1.000,9.05,0.931,0.21,1.126,1
interaction,500,0.01,1.050,0.01,1.112,0.54,1.079,0.05,1.298,2
interaction,1500,0.02,1.053,0.02,1.083,1.43,1.043,0.21,1.107,2
highdim,500,0.03,1.242,0.03,1.206,58.99,1.059,0.08,1.711,2
highdim,1500,0.09,1.103,0.04,1.022,119.64,0.946,0.35,1.556,3
