"dgp","n","rep","model","auc","logloss","acc","t_fit"
"twonorm",500,1,"ares",0.988080412737947,0.184133762805132,0.946666666666667,0.0298967361450195
"twonorm",500,1,"earth",0.961216865326454,0.285605506418223,0.92,0.0131826400756836
"twonorm",500,1,"ranger",0.997153531400107,0.298303793966996,0.966666666666667,0.0517952442169189
"threenorm",500,1,"ares",0.818642533936652,0.806034891730995,0.733333333333333,0.168859481811523
"threenorm",500,1,"earth",0.76,0.696215539021005,0.686666666666667,0.00861072540283203
"threenorm",500,1,"ranger",0.857194570135747,0.523589464080885,0.76,0.0598969459533691
"ringnorm",500,1,"ares",0.953730272596844,1.52104095042309,0.94,0.0325276851654053
"ringnorm",500,1,"earth",0.979734576757532,0.272324342313448,0.94,0.0105383396148682
"ringnorm",500,1,"ranger",0.982962697274032,0.314638063299982,0.94,0.0608181953430176
"waveform",500,1,"ares",0.942268963974043,0.34599143068768,0.886666666666667,0.0300202369689941
"waveform",500,1,"earth",0.936674871335869,0.319549295770438,0.893333333333333,0.00900435447692871
"waveform",500,1,"ranger",0.978518684269411,0.26306886428454,0.9,0.0469021797180176
"twonorm",1500,1,"ares",0.996418961696739,0.0739843656771625,0.975555555555556,0.0699601173400879
"twonorm",1500,1,"earth",0.96585153529598,0.248762291429766,0.888888888888889,0.0196976661682129
"twonorm",1500,1,"ranger",0.996636593858816,0.249983720797242,0.971111111111111,0.211440801620483
"threenorm",1500,1,"ares",0.900861387703493,0.403495411401449,0.815555555555556,0.0655975341796875
"threenorm",1500,1,"earth",0.838568831989885,0.512768071239517,0.755555555555556,0.0204780101776123
"threenorm",1500,1,"ranger",0.927967441125336,0.439012603742256,0.833333333333333,0.266135931015015
"ringnorm",1500,1,"ares",0.99117037037037,0.195542260024265,0.96,0.0732614994049072
"ringnorm",1500,1,"earth",0.969896296296296,0.215560305074388,0.926666666666667,0.0232477188110352
"ringnorm",1500,1,"ranger",0.993935802469136,0.242144583212283,0.955555555555556,0.26419734954834
"waveform",1500,1,"ares",0.956914706914707,0.252503208723488,0.891111111111111,0.0796644687652588
"waveform",1500,1,"earth",0.948315198315198,0.273429427769608,0.877777777777778,0.018937349319458
"waveform",1500,1,"ranger",0.95963495963496,0.300122174556416,0.882222222222222,0.212496995925903
"twonorm",500,2,"ares",0.950631560220601,1.99256697001209,0.92,0.0341436862945557
"twonorm",500,2,"earth",0.951076320939335,0.36354168092282,0.886666666666667,0.00814104080200195
"twonorm",500,2,"ranger",0.99092688133784,0.306818213333276,0.94,0.0490496158599854
"threenorm",500,2,"ares",0.868571428571429,0.622565120575417,0.773333333333333,0.0588405132293701
"threenorm",500,2,"earth",0.787142857142857,0.730527550628883,0.74,0.00843381881713867
"threenorm",500,2,"ranger",0.931607142857143,0.463680373124523,0.846666666666667,0.056694507598877
"ringnorm",500,2,"ares",0.973468660968661,1.31529826082187,0.92,0.0320925712585449
"ringnorm",500,2,"earth",0.960470085470085,0.758322025481919,0.886666666666667,0.00958895683288574
