"dgp","n","rep","variant","auc","logloss"
"twonorm",500,1,"default",0.97599573257468,0.296134333993923
"twonorm",500,1,"flipped",0.993243243243243,0.107935856780232
"threenorm",500,1,"default",0.917630314890589,0.410246344614355
"threenorm",500,1,"flipped",0.921188400640455,0.40417635737506
"ringnorm",500,1,"default",0.9424786628734,1.89235964868633
"ringnorm",500,1,"flipped",0.94701280227596,1.8988802473631
"waveform",500,1,"default",0.929002139661544,0.357444967357359
"waveform",500,1,"flipped",0.927446022174674,0.34810144083086
"twonorm",1500,1,"default",0.997844827586207,0.06468734720116
"twonorm",1500,1,"flipped",0.99760756089845,0.0646065306818452
"threenorm",1500,1,"default",0.925889328063241,0.348280639290815
"threenorm",1500,1,"flipped",0.925889328063241,0.348280639290815
"ringnorm",1500,1,"default",0.99539716718358,0.208771354567415
"ringnorm",1500,1,"flipped",0.99539716718358,0.208771354567415
"waveform",1500,1,"default",0.957634228187919,0.245381666257127
"waveform",1500,1,"flipped",0.964676792652773,0.225397070634121
"twonorm",500,2,"default",0.986212417719267,0.93942815156024
"twonorm",500,2,"flipped",0.99679772282512,0.427633876420036
"threenorm",500,2,"default",0.859811421455257,0.806850437373442
"threenorm",500,2,"flipped",0.876178615904643,0.562263796004361
"ringnorm",500,2,"default",0.971194879089616,1.10437284663307
"ringnorm",500,2,"flipped",0.971194879089616,1.10437284663307
"waveform",500,2,"default",0.930337519623234,0.496127080328753
"waveform",500,2,"flipped",0.931122448979592,0.471680211771591
"twonorm",1500,2,"default",0.995137282808516,0.100343433097247
"twonorm",1500,2,"flipped",0.995453557097393,0.0979956984058272
"threenorm",1500,2,"default",0.894352146342427,0.425628796879445
"threenorm",1500,2,"flipped",0.895893008830327,0.418276501590585
"ringnorm",1500,2,"default",0.992916666666667,0.0894539298921544
"ringnorm",1500,2,"flipped",0.992916666666667,0.0894539298921544
"waveform",1500,2,"default",0.951599966227626,0.282437845913834
"waveform",1500,2,"flipped",0.957847855454238,0.26013124110767
"twonorm",500,3,"default",0.963540738099483,1.17363317914035
"twonorm",500,3,"flipped",0.960688179711178,1.40350127351295
"threenorm",500,3,"default",0.871799431009957,0.455490728740538
"threenorm",500,3,"flipped",0.885668563300142,0.429075948969662
"ringnorm",500,3,"default",0.962663517441861,1.59836751261306
"ringnorm",500,3,"flipped",0.962663517441861,1.59836751261306
"waveform",500,3,"default",0.942700156985871,0.308384565479582
"waveform",500,3,"flipped",0.950941915227629,0.288894545481081
"twonorm",1500,3,"default",0.991683452663489,0.153459990902399
"twonorm",1500,3,"flipped",0.991583733870485,0.154931860825604
"threenorm",1500,3,"default",0.89800675608937,0.436441613343273
"threenorm",1500,3,"flipped",0.902826890025879,0.421696249839829
"ringnorm",1500,3,"default",0.989639301517067,0.502593366263464
"ringnorm",1500,3,"flipped",0.989639301517067,0.502593366263464
"waveform",1500,3,"default",0.952975563626985,0.291427673116572
"waveform",1500,3,"flipped",0.95020309914247,0.28744238378375
"twonorm",500,4,"default",0.928571428571429,2.20005442962328
"twonorm",500,4,"flipped",0.928125,2.1694530763958
"threenorm",500,4,"default",0.872325121381047,0.449626863259865
"threenorm",500,4,"flipped",0.872684768926452,0.447832141226198
"ringnorm",500,4,"default",0.962678571428571,1.40137073348312
"ringnorm",500,4,"flipped",0.972232142857143,1.26129624860872
"waveform",500,4,"default",0.944639537285685,0.322339345148257
"waveform",500,4,"flipped",0.955381119603388,0.251092785904472
"twonorm",1500,4,"default",0.996722027972028,0.0759279729353447
"twonorm",1500,4,"flipped",0.99668229497775,0.0779032311470017
"threenorm",1500,4,"default",0.910988445710668,0.392150100441345
"threenorm",1500,4,"flipped",0.912294238683128,0.389256566948228
"ringnorm",1500,4,"default",0.995691794556175,0.236380486321157
"ringnorm",1500,4,"flipped",0.995691794556175,0.236380486321157
"waveform",1500,4,"default",0.953622154340119,0.259765560113624
"waveform",1500,4,"flipped",0.951660014716047,0.27005817327408
"twonorm",500,5,"default",1,0.00458627098281069
"twonorm",500,5,"flipped",0.992601176680335,0.310467687112317
"threenorm",500,5,"default",0.907229344729345,0.431549551434153
"threenorm",500,5,"flipped",0.900997150997151,0.450191997004464
"ringnorm",500,5,"default",0.950053418803419,1.77146510347372
"ringnorm",500,5,"flipped",0.953525641025641,1.55733474584671
"waveform",500,5,"default",0.923418209876543,0.569325812429157
"waveform",500,5,"flipped",0.936342592592593,0.323639482140286
"twonorm",1500,5,"default",0.989327578013623,0.145999717667839
"twonorm",1500,5,"flipped",0.990079993663868,0.141230765987487
"threenorm",1500,5,"default",0.900170041126226,0.406514957175312
"threenorm",1500,5,"flipped",0.898370768744068,0.408825641093806
"ringnorm",1500,5,"default",0.975192159497323,0.733356012343086
"ringnorm",1500,5,"flipped",0.975192159497323,0.733356012343086
"waveform",1500,5,"default",0.965136054421769,0.233517219686076
"waveform",1500,5,"flipped",0.957701029129601,0.249965855772746
"twonorm",500,6,"default",0.942118446949365,1.83817892692995
"twonorm",500,6,"flipped",0.955448201825013,1.52899120145241
"threenorm",500,6,"default",0.876607142857143,0.475555417001144
"threenorm",500,6,"flipped",0.898035714285714,0.43385378690875
"ringnorm",500,6,"default",0.954091638438224,1.73826607814946
"ringnorm",500,6,"flipped",0.954091638438224,1.73826607814946
"waveform",500,6,"default",0.925653594771242,0.409637916190109
"waveform",500,6,"flipped",0.94750816993464,0.274994891350247
"twonorm",1500,6,"default",0.990252293577982,0.17949123237121
"twonorm",1500,6,"flipped",0.990805915849415,0.179801215558379
"threenorm",1500,6,"default",0.893536722717303,0.432255016747921
"threenorm",1500,6,"flipped",0.893852872018811,0.431721392412767
"ringnorm",1500,6,"default",0.991820365701126,0.16613574759561
"ringnorm",1500,6,"flipped",0.991820365701126,0.16613574759561
"waveform",1500,6,"default",0.936844323716748,0.3207807341501
"waveform",1500,6,"flipped",0.947639565380292,0.26875589073198
