"cell_id","family","dgp","n","p","setup","n_reps","median_s","min_s","mem_alloc_b","det_ok","tag","iter","timestamp"
"gaussian__friedman1__n500_p10__default","gaussian","friedman1",500,10,"default",5,0.00748739007394761,0.00714324507862329,687088,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n500_p10__cv5","gaussian","friedman1",500,10,"cv5",5,0.0424561770632863,0.041727623087354,2416920,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n500_p10__autotune","gaussian","friedman1",500,10,"autotune",5,0.541536969016306,0.536421976983547,5355288,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n500_p10__bag20","gaussian","friedman1",500,10,"bag20",5,0.145618697977625,0.142592976102605,2667832,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n2000_p10__default","gaussian","friedman1",2000,10,"default",5,0.0258549109566957,0.0257028561318293,1636376,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n2000_p10__cv5","gaussian","friedman1",2000,10,"cv5",5,0.150768934981897,0.149270051042549,8590536,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n2000_p10__autotune","gaussian","friedman1",2000,10,"autotune",5,3.86909631197341,3.84399972297251,47811376,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1__n2000_p10__bag20","gaussian","friedman1",2000,10,"bag20",5,0.553651534020901,0.551083458936773,10550584,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1_highdim__n1000_p20__default","gaussian","friedman1_highdim",1000,20,"default",5,0.0395632880972698,0.0390190139878541,1361728,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1_highdim__n1000_p20__cv5","gaussian","friedman1_highdim",1000,20,"cv5",5,0.254798984038644,0.253155634040013,9695104,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1_highdim__n1000_p20__autotune","gaussian","friedman1_highdim",1000,20,"autotune",5,5.37389009702019,5.36808470508549,21850456,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gaussian__friedman1_highdim__n1000_p20__bag20","gaussian","friedman1_highdim",1000,20,"bag20",5,1.04977171099745,1.0422482289141,9488688,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"binomial__twonorm__n1500_p20__default","binomial","twonorm",1500,20,"default",5,0.0845941270235926,0.0812300989637151,13440608,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"binomial__twonorm__n1500_p20__cv5","binomial","twonorm",1500,20,"cv5",5,0.417974178097211,0.414295647060499,26556832,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"binomial__twonorm__n1500_p20__autotune","binomial","twonorm",1500,20,"autotune",5,0.212950605084188,0.207905913004652,15780072,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"binomial__twonorm__n1500_p20__bag20","binomial","twonorm",1500,20,"bag20",5,1.74909607600421,1.7231674810173,379627544,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"poisson__friedman1_poisson__n1000_p10__default","poisson","friedman1_poisson",1000,10,"default",5,0.0139151389012113,0.0138886770000681,3218184,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"poisson__friedman1_poisson__n1000_p10__cv5","poisson","friedman1_poisson",1000,10,"cv5",5,0.0760577011387795,0.0752410310087726,6068448,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"poisson__friedman1_poisson__n1000_p10__autotune","poisson","friedman1_poisson",1000,10,"autotune",5,2.55163978610653,2.53062531503383,5120840,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"poisson__friedman1_poisson__n1000_p10__bag20","poisson","friedman1_poisson",1000,10,"bag20",5,0.309357842081226,0.302856954047456,63027232,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gamma__friedman1_gamma__n1000_p10__default","gamma","friedman1_gamma",1000,10,"default",5,0.0147661060327664,0.0147028540959582,4110696,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gamma__friedman1_gamma__n1000_p10__cv5","gamma","friedman1_gamma",1000,10,"cv5",5,0.0748709989711642,0.0743994390359148,7164800,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gamma__friedman1_gamma__n1000_p10__autotune","gamma","friedman1_gamma",1000,10,"autotune",5,9.77132839302067,9.75618770706933,29434944,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
"gamma__friedman1_gamma__n1000_p10__bag20","gamma","friedman1_gamma",1000,10,"bag20",5,0.312813432072289,0.311873701051809,81526280,TRUE,"v0.26-iter-01",1,"2026-05-12 22:01:57"
