"cell_id","family","dgp","n","p","setup","n_reps","median_s","min_s","mem_alloc_b","det_ok","tag","iter","timestamp"
"gaussian__friedman1__n500_p10__default","gaussian","friedman1",500,10,"default",5,0.00940368499141186,0.00932013208512217,686768,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n500_p10__cv5","gaussian","friedman1",500,10,"cv5",5,0.0520943310111761,0.050403303001076,2416392,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n500_p10__autotune","gaussian","friedman1",500,10,"autotune",5,0.566789204953238,0.562345089972951,5034712,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n500_p10__bag20","gaussian","friedman1",500,10,"bag20",5,0.187030393979512,0.186414200928994,2666200,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n2000_p10__default","gaussian","friedman1",2000,10,"default",5,0.0338838350726292,0.0326130089815706,1636056,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n2000_p10__cv5","gaussian","friedman1",2000,10,"cv5",5,0.194870625971816,0.191375410067849,8590008,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n2000_p10__autotune","gaussian","friedman1",2000,10,"autotune",5,4.36297951906454,4.34779397817329,47207328,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1__n2000_p10__bag20","gaussian","friedman1",2000,10,"bag20",5,0.72984920698218,0.727001174003817,10548952,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1_highdim__n1000_p20__default","gaussian","friedman1_highdim",1000,20,"default",5,0.0518335370579734,0.051665983046405,1361408,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1_highdim__n1000_p20__cv5","gaussian","friedman1_highdim",1000,20,"cv5",5,0.331488019088283,0.329777786973864,9694576,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1_highdim__n1000_p20__autotune","gaussian","friedman1_highdim",1000,20,"autotune",5,5.85439771309029,5.83816482510883,20941744,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gaussian__friedman1_highdim__n1000_p20__bag20","gaussian","friedman1_highdim",1000,20,"bag20",5,1.41808895592112,1.41122905595694,9487056,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"binomial__twonorm__n1500_p20__default","binomial","twonorm",1500,20,"default",5,0.105490140034817,0.105314873042516,13440208,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"binomial__twonorm__n1500_p20__cv5","binomial","twonorm",1500,20,"cv5",5,0.533885870012455,0.53032568807248,26556224,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"binomial__twonorm__n1500_p20__autotune","binomial","twonorm",1500,20,"autotune",5,0.245045612915419,0.238538580946624,15705032,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"binomial__twonorm__n1500_p20__bag20","binomial","twonorm",1500,20,"bag20",5,2.2277362619061,2.19931475399062,379625512,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"poisson__friedman1_poisson__n1000_p10__default","poisson","friedman1_poisson",1000,10,"default",5,0.0179012408480048,0.0174735869513825,3217768,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"poisson__friedman1_poisson__n1000_p10__cv5","poisson","friedman1_poisson",1000,10,"cv5",5,0.0977134169079363,0.094501813990064,6067840,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"poisson__friedman1_poisson__n1000_p10__autotune","poisson","friedman1_poisson",1000,10,"autotune",5,2.67961021594238,2.67800962598994,4711640,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"poisson__friedman1_poisson__n1000_p10__bag20","poisson","friedman1_poisson",1000,10,"bag20",5,0.39032568607945,0.386670621111989,63025200,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gamma__friedman1_gamma__n1000_p10__default","gamma","friedman1_gamma",1000,10,"default",5,0.0196096299914643,0.0191776780411601,4110296,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gamma__friedman1_gamma__n1000_p10__cv5","gamma","friedman1_gamma",1000,10,"cv5",5,0.0947705279104412,0.093928835936822,7164192,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gamma__friedman1_gamma__n1000_p10__autotune","gamma","friedman1_gamma",1000,10,"autotune",5,10.80996184994,10.7490053990623,28357568,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
"gamma__friedman1_gamma__n1000_p10__bag20","gamma","friedman1_gamma",1000,10,"bag20",5,0.392491833888926,0.390474628889933,81524248,TRUE,"v0.26-speed-baseline",0,"2026-05-12 21:44:03"
